DB_ARTICLE	DB_BRAND	ORIG_ARTICLE	ORIG_BRAND
aj-b-12s	AIRLINE	AJ-B-12S	Airline
aj-b-20	AIRLINE	AJ-B-20	Airline
aj-b-20s	AIRLINE	AJ-B-20S	Airline
aj-b-50s	AIRLINE	AJ-B-50S	Airline
aj-r-0.8s	AIRLINE	AJ-R-0.8S	Airline
aj-r-01s	AIRLINE	AJ-R-01S	Airline
aj-u-04	AIRLINE	AJ-U-04	Airline
aj-u-05	AIRLINE	AJ-U-05	Airline
aj25f340	AIRLINE	AJ25F340	Airline
aj2f390	AIRLINE	AJ2F390	Airline
aj3f370k	AIRLINE	AJ3F370K	Airline
aj3f530	AIRLINE	AJ3F530	Airline
ajb002	AIRLINE	AJB002	Airline
ajs-55-05	AIRLINE	AJS-55-05	Airline
ajs-80-04	AIRLINE	AJS-80-04	Airline
ajs-chj-100	AIRLINE	AJS-CHJ-100	Airline
ajs02	AIRLINE	AJS02	Airline
ajs03	AIRLINE	AJS03	Airline
ajs04	AIRLINE	AJS04	Airline
ajs07	AIRLINE	AJS07	Airline
ajs09	AIRLINE	AJS09	Airline
ajs10	AIRLINE	AJS10	Airline
ajsf02	AIRLINE	AJSF02	Airline
ajsfc01	AIRLINE	AJSFC01	Airline
ajsg02	AIRLINE	AJSG02	Airline
ajsgp02	AIRLINE	AJSGP02	Airline
aju06	AIRLINE	AJU06	Airline
ak-b-07	AIRLINE	AK-B-07	Airline
ak-b-09	AIRLINE	AK-B-09	Airline
ak-b-10	AIRLINE	AK-B-10	Airline
ak-b-16	AIRLINE	AK-B-16	Airline
ak-f-04	AIRLINE	AK-F-04	Airline
ak-f-06	AIRLINE	AK-F-06	Airline
ak-s-09	AIRLINE	AK-S-09	Airline
ak-s-13	AIRLINE	AK-S-13	Airline
akaa002	AIRLINE	AKAA002	Airline
akaa003	AIRLINE	AKAA003	Airline
akac015	AIRLINE	AKAC015	Airline
akf012	AIRLINE	AKF012	Airline
akp-01	AIRLINE	AKP-01	Airline
alab002	AIRLINE	ALAB002	Airline
alab003	AIRLINE	ALAB003	Airline
alab004	AIRLINE	ALAB004	Airline
aled003	AIRLINE	ALED003	Airline
aled005	AIRLINE	ALED005	Airline
aled008	AIRLINE	ALED008	Airline
aled010	AIRLINE	ALED010	Airline
aled012	AIRLINE	ALED012	Airline
aled013	AIRLINE	ALED013	Airline
aled017	AIRLINE	ALED017	Airline
aled020	AIRLINE	ALED020	Airline
aled021	AIRLINE	ALED021	Airline
aled022	AIRLINE	ALED022	Airline
aled024	AIRLINE	ALED024	Airline
aled025	AIRLINE	ALED025	Airline
aled027	AIRLINE	ALED027	Airline
aled029	AIRLINE	ALED029	Airline
aled032	AIRLINE	ALED032	Airline
aled034	AIRLINE	ALED034	Airline
aled040	AIRLINE	ALED040	Airline
aled041	AIRLINE	ALED041	Airline
aled042	AIRLINE	ALED042	Airline
aled045	AIRLINE	ALED045	Airline
aled046	AIRLINE	ALED046	Airline
aled049	AIRLINE	ALED049	Airline
aled051	AIRLINE	ALED051	Airline
aled052	AIRLINE	ALED052	Airline
aled054	AIRLINE	ALED054	Airline
aled055	AIRLINE	ALED055	Airline
aled057	AIRLINE	ALED057	Airline
aled060	AIRLINE	ALED060	Airline
aled061	AIRLINE	ALED061	Airline
aled062	AIRLINE	ALED062	Airline
aled063	AIRLINE	ALED063	Airline
aled070	AIRLINE	ALED070	Airline
aled074	AIRLINE	ALED074	Airline
aled076	AIRLINE	ALED076	Airline
aled080	AIRLINE	ALED080	Airline
aled081	AIRLINE	ALED081	Airline
aled082	AIRLINE	ALED082	Airline
aled092	AIRLINE	ALED092	Airline
aled093	AIRLINE	ALED093	Airline
aled102	AIRLINE	ALED102	Airline
aled105	AIRLINE	ALED105	Airline
aled106	AIRLINE	ALED106	Airline
aled107	AIRLINE	ALED107	Airline
alk-hw-03	AIRLINE	ALK-HW-03	Airline
alko001	AIRLINE	ALKO001	Airline
alko002	AIRLINE	ALKO002	Airline
alko003	AIRLINE	ALKO003	Airline
amr-03	AIRLINE	AMR-03	Airline
amr-06	AIRLINE	AMR-06	Airline
amr-09	AIRLINE	AMR-09	Airline
amr-r-07	AIRLINE	AMR-R-07	Airline
ams-u-08	AIRLINE	AMS-U-08	Airline
ams-u-10	AIRLINE	AMS-U-10	Airline
ams-u-12	AIRLINE	AMS-U-12	Airline
ams-u-19	AIRLINE	AMS-U-19	Airline
ams-u-20	AIRLINE	AMS-U-20	Airline
ams-u-21	AIRLINE	AMS-U-21	Airline
ams-u-25	AIRLINE	AMS-U-25	Airline
an-m-02	AIRLINE	AN-M-02	Airline
ana-01	AIRLINE	ANA-01	Airline
anhs03	AIRLINE	ANHS03	Airline
anks02	AIRLINE	ANKS02	Airline
ao-bt-08	AIRLINE	AO-BT-08	Airline
ao-cb-01	AIRLINE	AO-CB-01	Airline
ao-cb-02	AIRLINE	AO-CB-02	Airline
ao-cb-03	AIRLINE	AO-CB-03	Airline
ao-cb-04	AIRLINE	AO-CB-04	Airline
ao-cb-05	AIRLINE	AO-CB-05	Airline
ao-cb-06	AIRLINE	AO-CB-06	Airline
ao-cs-18	AIRLINE	AO-CS-18	Airline
ao-cs-19	AIRLINE	AO-CS-19	Airline
ao-cs-20	AIRLINE	AO-CS-20	Airline
ao-ka-2	AIRLINE	AO-KA-2	Airline
ao-ka-4	AIRLINE	AO-KA-4	Airline
ao-op4	AIRLINE	AO-OP4	Airline
ao-pc-16	AIRLINE	AO-PC-16	Airline
ao-pwc-15-05	AIRLINE	AO-PWC-15-05	Airline
ao-st-06	AIRLINE	AO-ST-06	Airline
ao-st-09	AIRLINE	AO-ST-09	Airline
ao-wc-10	AIRLINE	AO-WC-10	Airline
ao-wc-12	AIRLINE	AO-WC-12	Airline
apb-14-06	AIRLINE	APB-14-06	Airline
apfl005	AIRLINE	APFL005	Airline
apfp002	AIRLINE	APFP002	Airline
api-150-01	AIRLINE	API-150-01	Airline
api-200-02	AIRLINE	API-200-02	Airline
apm-a-01	AIRLINE	APM-A-01	Airline
apm-a-03	AIRLINE	APM-A-03	Airline
apr-d-04	AIRLINE	APR-D-04	Airline
apr-l-01	AIRLINE	APR-L-01	Airline
apr-m-03	AIRLINE	APR-M-03	Airline
aps-4l-01	AIRLINE	APS-4L-01	Airline
aps-8l-02	AIRLINE	APS-8L-02	Airline
aps-wl-04	AIRLINE	APS-WL-04	Airline
apsb-01	AIRLINE	APSB-01	Airline
apt-v-01	AIRLINE	APT-V-01	Airline
ar-bag-02	AIRLINE	AR-BAG-02	Airline
arw-b-07	AIRLINE	ARW-B-07	Airline
arw-bs-08	AIRLINE	ARW-BS-08	Airline
as-r-03	AIRLINE	AS-R-03	Airline
as-r-15	AIRLINE	AS-R-15	Airline
as-r-17	AIRLINE	AS-R-17	Airline
as-s-03	AIRLINE	AS-S-03	Airline
as-s-04	AIRLINE	AS-S-04	Airline
as-s-05	AIRLINE	AS-S-05	Airline
as-s-06	AIRLINE	AS-S-06	Airline
as-s-07	AIRLINE	AS-S-07	Airline
as-s-08	AIRLINE	AS-S-08	Airline
as-t-07	AIRLINE	AS-T-07	Airline
as-t-09	AIRLINE	AS-T-09	Airline
as-t-10	AIRLINE	AS-T-10	Airline
as-t-11	AIRLINE	AS-T-11	Airline
as-t-12	AIRLINE	AS-T-12	Airline
as-t-14	AIRLINE	AS-T-14	Airline
as-t-15	AIRLINE	AS-T-15	Airline
as-t-17e	AIRLINE	AS-T-17E	Airline
as-t-23	AIRLINE	AS-T-23	Airline
as-t-25	AIRLINE	AS-T-25	Airline
as-t-26	AIRLINE	AS-T-26	Airline
as-t-27	AIRLINE	AS-T-27	Airline
as-t-41	AIRLINE	AS-T-41	Airline
asc-bs-17	AIRLINE	ASC-BS-17	Airline
asc-bs-18	AIRLINE	ASC-BS-18	Airline
asc-kb-04	AIRLINE	ASC-KB-04	Airline
asc-ss-11	AIRLINE	ASC-SS-11	Airline
asc-sv-05	AIRLINE	ASC-SV-05	Airline
asm-bp-04	AIRLINE	ASM-BP-04	Airline
asp-2l-14	AIRLINE	ASP-2L-14	Airline
asp-2tu-08	AIRLINE	ASP-2TU-08	Airline
asp-2u-16	AIRLINE	ASP-2U-16	Airline
asp-3s-15	AIRLINE	ASP-3S-15	Airline
asp-b-02	AIRLINE	ASP-B-02	Airline
asp-b-05	AIRLINE	ASP-B-05	Airline
asps-fb-01	AIRLINE	ASPS-FB-01	Airline
asps-fb-02	AIRLINE	ASPS-FB-02	Airline
asps-r-15	AIRLINE	ASPS-R-15	Airline
asps-s-05	AIRLINE	ASPS-S-05	Airline
asps-s-06	AIRLINE	ASPS-S-06	Airline
asps-s-07	AIRLINE	ASPS-S-07	Airline
asps-s-10	AIRLINE	ASPS-S-10	Airline
asps-s-11	AIRLINE	ASPS-S-11	Airline
asps-sw-01	AIRLINE	ASPS-SW-01	Airline
ast43	AIRLINE	AST43	Airline
ast44	AIRLINE	AST44	Airline
ast45	AIRLINE	AST45	Airline
ast46	AIRLINE	AST46	Airline
ast49	AIRLINE	AST49	Airline
ast50	AIRLINE	AST50	Airline
ast52	AIRLINE	AST52	Airline
ast55	AIRLINE	AST55	Airline
ast56	AIRLINE	AST56	Airline
ast58	AIRLINE	AST58	Airline
ast59	AIRLINE	AST59	Airline
astp02	AIRLINE	ASTP02	Airline
30081	BREMI	30081	Bremi
astp03	AIRLINE	ASTP03	Airline
astp04	AIRLINE	ASTP04	Airline
astp08	AIRLINE	ASTP08	Airline
astp09	AIRLINE	ASTP09	Airline
at-02	AIRLINE	AT-02	Airline
at-10-51	AIRLINE	AT-10-51	Airline
at-12-24	AIRLINE	AT-12-24	Airline
at-12-26	AIRLINE	AT-12-26	Airline
at-12-29	AIRLINE	AT-12-29	Airline
at-12-46	AIRLINE	AT-12-46	Airline
at-13-27	AIRLINE	AT-13-27	Airline
at-13-28	AIRLINE	AT-13-28	Airline
at-142-53	AIRLINE	AT-142-53	Airline
at-17b-01	AIRLINE	AT-17B-01	Airline
at-4-43	AIRLINE	AT-4-43	Airline
at-41-04	AIRLINE	AT-41-04	Airline
at-43-01	AIRLINE	AT-43-01	Airline
at-59-06	AIRLINE	AT-59-06	Airline
at-9-15	AIRLINE	AT-9-15	Airline
at-9-16	AIRLINE	AT-9-16	Airline
at-9-17	AIRLINE	AT-9-17	Airline
at-9-19	AIRLINE	AT-9-19	Airline
at-9-23	AIRLINE	AT-9-23	Airline
at-9-32	AIRLINE	AT-9-32	Airline
at-94-05	AIRLINE	AT-94-05	Airline
at-ad-02	AIRLINE	AT-AD-02	Airline
at-ad-03	AIRLINE	AT-AD-03	Airline
at-b-04	AIRLINE	AT-B-04	Airline
at-b-07	AIRLINE	AT-B-07	Airline
at-b-10	AIRLINE	AT-B-10	Airline
at-b-11	AIRLINE	AT-B-11	Airline
at-b-16	AIRLINE	AT-B-16	Airline
at-b-17	AIRLINE	AT-B-17	Airline
at-b-42	AIRLINE	AT-B-42	Airline
at-b-46	AIRLINE	AT-B-46	Airline
at-b-50	AIRLINE	AT-B-50	Airline
at-bh-01	AIRLINE	AT-BH-01	Airline
at-bh-02	AIRLINE	AT-BH-02	Airline
at-bnp-6	AIRLINE	AT-BNP-6	Airline
at-bnp-8	AIRLINE	AT-BNP-8	Airline
at-bs-05	AIRLINE	AT-BS-05	Airline
at-bs-11	AIRLINE	AT-BS-11	Airline
at-bs-32	AIRLINE	AT-BS-32	Airline
at-bs-34	AIRLINE	AT-BS-34	Airline
at-bs-35	AIRLINE	AT-BS-35	Airline
at-bs-39	AIRLINE	AT-BS-39	Airline
at-bs-62	AIRLINE	AT-BS-62	Airline
at-bs-65	AIRLINE	AT-BS-65	Airline
at-cm-04	AIRLINE	AT-CM-04	Airline
at-cm-08	AIRLINE	AT-CM-08	Airline
at-cp-7	AIRLINE	AT-CP-7	Airline
at-cp-8	AIRLINE	AT-CP-8	Airline
at-cr-01	AIRLINE	AT-CR-01	Airline
at-cr-02	AIRLINE	AT-CR-02	Airline
at-cr-04	AIRLINE	AT-CR-04	Airline
at-cr-05	AIRLINE	AT-CR-05	Airline
at-cr-06	AIRLINE	AT-CR-06	Airline
at-cs-09	AIRLINE	AT-CS-09	Airline
at-cs-20	AIRLINE	AT-CS-20	Airline
at-cs-21	AIRLINE	AT-CS-21	Airline
at-dcp-8	AIRLINE	AT-DCP-8	Airline
at-dos-05	AIRLINE	AT-DOS-05	Airline
at-eb-01	AIRLINE	AT-EB-01	Airline
at-eb-03	AIRLINE	AT-EB-03	Airline
at-eb-04	AIRLINE	AT-EB-04	Airline
at-eb-05	AIRLINE	AT-EB-05	Airline
at-eb-07	AIRLINE	AT-EB-07	Airline
at-eb-08	AIRLINE	AT-EB-08	Airline
at-eb-09	AIRLINE	AT-EB-09	Airline
at-eb-10	AIRLINE	AT-EB-10	Airline
at-eb-11	AIRLINE	AT-EB-11	Airline
at-ecp6-03	AIRLINE	AT-ECP6-03	Airline
at-ecp7-02	AIRLINE	AT-ECP7-02	Airline
at-fc-01	AIRLINE	AT-FC-01	Airline
at-hdr-12	AIRLINE	AT-HDR-12	Airline
at-fcs-03	AIRLINE	AT-FCS-03	Airline
at-fhs-04	AIRLINE	AT-FHS-04	Airline
at-fl-01	AIRLINE	AT-FL-01	Airline
at-fns-02	AIRLINE	AT-FNS-02	Airline
at-fns-03	AIRLINE	AT-FNS-03	Airline
at-fns-04	AIRLINE	AT-FNS-04	Airline
at-fns-09	AIRLINE	AT-FNS-09	Airline
at-gg-01	AIRLINE	AT-GG-01	Airline
at-gg-06	AIRLINE	AT-GG-06	Airline
at-gg-10	AIRLINE	AT-GG-10	Airline
at-gg-11	AIRLINE	AT-GG-11	Airline
at-gg-14	AIRLINE	AT-GG-14	Airline
at-gjp-10	AIRLINE	AT-GJP-10	Airline
at-gjp-12	AIRLINE	AT-GJP-12	Airline
at-gjp-8	AIRLINE	AT-GJP-8	Airline
at-gp3-01	AIRLINE	AT-GP3-01	Airline
at-hdr-01	AIRLINE	AT-HDR-01	Airline
at-hdr-02	AIRLINE	AT-HDR-02	Airline
at-hdr-05	AIRLINE	AT-HDR-05	Airline
at-hdr-07	AIRLINE	AT-HDR-07	Airline
at-hdr-11	AIRLINE	AT-HDR-11	Airline
at-hdr-16	AIRLINE	AT-HDR-16	Airline
at-icp6-01	AIRLINE	AT-ICP6-01	Airline
at-icp7-02	AIRLINE	AT-ICP7-02	Airline
at-icp7-04	AIRLINE	AT-ICP7-04	Airline
at-ip1-01	AIRLINE	AT-IP1-01	Airline
at-ip3-03	AIRLINE	AT-IP3-03	Airline
at-is1-01	AIRLINE	AT-IS1-01	Airline
at-is1-04	AIRLINE	AT-IS1-04	Airline
at-is1-10	AIRLINE	AT-IS1-10	Airline
at-is1-11	AIRLINE	AT-IS1-11	Airline
at-is1-13	AIRLINE	AT-IS1-13	Airline
at-is1-14	AIRLINE	AT-IS1-14	Airline
at-is1-15	AIRLINE	AT-IS1-15	Airline
at-is1-17	AIRLINE	AT-IS1-17	Airline
at-is1-18	AIRLINE	AT-IS1-18	Airline
at-is1-20	AIRLINE	AT-IS1-20	Airline
at-is1-22	AIRLINE	AT-IS1-22	Airline
at-is1-24	AIRLINE	AT-IS1-24	Airline
at-is1-25	AIRLINE	AT-IS1-25	Airline
at-is1-27	AIRLINE	AT-IS1-27	Airline
at-is1-28	AIRLINE	AT-IS1-28	Airline
at-is1-30	AIRLINE	AT-IS1-30	Airline
at-is1-32	AIRLINE	AT-IS1-32	Airline
at-is1-35	AIRLINE	AT-IS1-35	Airline
at-is1-36	AIRLINE	AT-IS1-36	Airline
atam014	AIRLINE	ATAM014	Airline
at-is12-03	AIRLINE	AT-IS12-03	Airline
at-is12-06	AIRLINE	AT-IS12-06	Airline
at-is12-07	AIRLINE	AT-IS12-07	Airline
at-is12-08	AIRLINE	AT-IS12-08	Airline
at-is12-10	AIRLINE	AT-IS12-10	Airline
at-is12-11	AIRLINE	AT-IS12-11	Airline
at-is12-12	AIRLINE	AT-IS12-12	Airline
at-is12-13	AIRLINE	AT-IS12-13	Airline
at-is12-15	AIRLINE	AT-IS12-15	Airline
at-is12-17	AIRLINE	AT-IS12-17	Airline
at-is12-23	AIRLINE	AT-IS12-23	Airline
at-is12-24	AIRLINE	AT-IS12-24	Airline
at-is12-28	AIRLINE	AT-IS12-28	Airline
at-is12-30	AIRLINE	AT-IS12-30	Airline
at-is12-32	AIRLINE	AT-IS12-32	Airline
at-is12-33	AIRLINE	AT-IS12-33	Airline
at-is12-35	AIRLINE	AT-IS12-35	Airline
at-is12-37	AIRLINE	AT-IS12-37	Airline
at-is12-38	AIRLINE	AT-IS12-38	Airline
at-is12-39	AIRLINE	AT-IS12-39	Airline
at-is12-42	AIRLINE	AT-IS12-42	Airline
at-is12-43	AIRLINE	AT-IS12-43	Airline
at-is12-44	AIRLINE	AT-IS12-44	Airline
at-is12-45	AIRLINE	AT-IS12-45	Airline
at-is12-46	AIRLINE	AT-IS12-46	Airline
at-is12-48	AIRLINE	AT-IS12-48	Airline
at-is34-03	AIRLINE	AT-IS34-03	Airline
at-is34-04	AIRLINE	AT-IS34-04	Airline
at-is34-06	AIRLINE	AT-IS34-06	Airline
at-is34-08	AIRLINE	AT-IS34-08	Airline
at-is34-09	AIRLINE	AT-IS34-09	Airline
at-is34-11	AIRLINE	AT-IS34-11	Airline
at-is34-13	AIRLINE	AT-IS34-13	Airline
at-is34-15	AIRLINE	AT-IS34-15	Airline
at-is34-16	AIRLINE	AT-IS34-16	Airline
at-is34-18	AIRLINE	AT-IS34-18	Airline
at-is34-19	AIRLINE	AT-IS34-19	Airline
at-is34-20	AIRLINE	AT-IS34-20	Airline
at-is34-21	AIRLINE	AT-IS34-21	Airline
at-is34-22	AIRLINE	AT-IS34-22	Airline
at-is34-23	AIRLINE	AT-IS34-23	Airline
at-is34-25	AIRLINE	AT-IS34-25	Airline
at-is34-26	AIRLINE	AT-IS34-26	Airline
at-is34-28	AIRLINE	AT-IS34-28	Airline
at-is34-31	AIRLINE	AT-IS34-31	Airline
at-is34-32	AIRLINE	AT-IS34-32	Airline
at-is34-33	AIRLINE	AT-IS34-33	Airline
at-is34-34	AIRLINE	AT-IS34-34	Airline
at-is34-39	AIRLINE	AT-IS34-39	Airline
at-is34-41	AIRLINE	AT-IS34-41	Airline
at-is34-42	AIRLINE	AT-IS34-42	Airline
at-is34-43	AIRLINE	AT-IS34-43	Airline
at-is34-44	AIRLINE	AT-IS34-44	Airline
at-is34-45	AIRLINE	AT-IS34-45	Airline
at-is34-47	AIRLINE	AT-IS34-47	Airline
at-is34-48	AIRLINE	AT-IS34-48	Airline
at-is34-49	AIRLINE	AT-IS34-49	Airline
at-is34-51	AIRLINE	AT-IS34-51	Airline
at-is34-53	AIRLINE	AT-IS34-53	Airline
at-is34-61	AIRLINE	AT-IS34-61	Airline
at-is34-66	AIRLINE	AT-IS34-66	Airline
at-is8-03	AIRLINE	AT-IS8-03	Airline
at-iw-01	AIRLINE	AT-IW-01	Airline
at-iw-03	AIRLINE	AT-IW-03	Airline
at-iw-07	AIRLINE	AT-IW-07	Airline
at-jlp-10	AIRLINE	AT-JLP-10	Airline
at-lnp-6	AIRLINE	AT-LNP-6	Airline
at-lnp-8	AIRLINE	AT-LNP-8	Airline
at-m-04	AIRLINE	AT-M-04	Airline
at-mw-02	AIRLINE	AT-MW-02	Airline
at-rcs-01	AIRLINE	AT-RCS-01	Airline
at-rcs-03	AIRLINE	AT-RCS-03	Airline
at-rcs-05	AIRLINE	AT-RCS-05	Airline
at-rcs-06	AIRLINE	AT-RCS-06	Airline
at-rcs-07	AIRLINE	AT-RCS-07	Airline
at-rcs-09	AIRLINE	AT-RCS-09	Airline
at-rcs-10	AIRLINE	AT-RCS-10	Airline
at-rcs-11	AIRLINE	AT-RCS-11	Airline
at-rcs-12	AIRLINE	AT-RCS-12	Airline
at-rfs-03	AIRLINE	AT-RFS-03	Airline
at-rfs-06	AIRLINE	AT-RFS-06	Airline
at-rfs-08	AIRLINE	AT-RFS-08	Airline
at-rfs-09	AIRLINE	AT-RFS-09	Airline
at-rfs-13	AIRLINE	AT-RFS-13	Airline
at-rk-03	AIRLINE	AT-RK-03	Airline
at-rrs-03	AIRLINE	AT-RRS-03	Airline
at-s12-03	AIRLINE	AT-S12-03	Airline
at-s12-05	AIRLINE	AT-S12-05	Airline
at-s12-07	AIRLINE	AT-S12-07	Airline
at-s12-08	AIRLINE	AT-S12-08	Airline
at-s12-09	AIRLINE	AT-S12-09	Airline
at-s12-10	AIRLINE	AT-S12-10	Airline
at-s12-12	AIRLINE	AT-S12-12	Airline
at-s12-14	AIRLINE	AT-S12-14	Airline
at-s12-16	AIRLINE	AT-S12-16	Airline
at-s12-19	AIRLINE	AT-S12-19	Airline
at-s12-20	AIRLINE	AT-S12-20	Airline
at-s12-22	AIRLINE	AT-S12-22	Airline
at-s12-25	AIRLINE	AT-S12-25	Airline
at-s12-26	AIRLINE	AT-S12-26	Airline
at-s12-28	AIRLINE	AT-S12-28	Airline
at-s12-29	AIRLINE	AT-S12-29	Airline
at-s12-30	AIRLINE	AT-S12-30	Airline
at-s12-31	AIRLINE	AT-S12-31	Airline
at-s12-33	AIRLINE	AT-S12-33	Airline
at-s12-35	AIRLINE	AT-S12-35	Airline
at-s12-36	AIRLINE	AT-S12-36	Airline
at-s12-41	AIRLINE	AT-S12-41	Airline
at-s14-03	AIRLINE	AT-S14-03	Airline
at-s14-04	AIRLINE	AT-S14-04	Airline
at-s14-08	AIRLINE	AT-S14-08	Airline
at-s14-13	AIRLINE	AT-S14-13	Airline
at-s14-15	AIRLINE	AT-S14-15	Airline
at-s14-18	AIRLINE	AT-S14-18	Airline
at-s38-01	AIRLINE	AT-S38-01	Airline
at-s38-03	AIRLINE	AT-S38-03	Airline
at-s38-05	AIRLINE	AT-S38-05	Airline
at-s38-06	AIRLINE	AT-S38-06	Airline
at-s38-07	AIRLINE	AT-S38-07	Airline
at-s38-11	AIRLINE	AT-S38-11	Airline
at-s38-14	AIRLINE	AT-S38-14	Airline
at-s38-15	AIRLINE	AT-S38-15	Airline
at-sok-08	AIRLINE	AT-SOK-08	Airline
at-sp1-02	AIRLINE	AT-SP1-02	Airline
at-sp2-06	AIRLINE	AT-SP2-06	Airline
at-ss6-06	AIRLINE	AT-SS6-06	Airline
at-ss8-05	AIRLINE	AT-SS8-05	Airline
at-sz1-02	AIRLINE	AT-SZ1-02	Airline
at-sz2-04	AIRLINE	AT-SZ2-04	Airline
at-sz2-06	AIRLINE	AT-SZ2-06	Airline
at-trs-02	AIRLINE	AT-TRS-02	Airline
at-uj-01	AIRLINE	AT-UJ-01	Airline
at-uj-02	AIRLINE	AT-UJ-02	Airline
at-uj-03	AIRLINE	AT-UJ-03	Airline
ataa001	AIRLINE	ATAA001	Airline
ataa006	AIRLINE	ATAA006	Airline
ataa014	AIRLINE	ATAA014	Airline
atab002	AIRLINE	ATAB002	Airline
atab003	AIRLINE	ATAB003	Airline
atab008	AIRLINE	ATAB008	Airline
atab012	AIRLINE	ATAB012	Airline
atab014	AIRLINE	ATAB014	Airline
atab017	AIRLINE	ATAB017	Airline
atab019	AIRLINE	ATAB019	Airline
atab025	AIRLINE	ATAB025	Airline
atab037	AIRLINE	ATAB037	Airline
atab039	AIRLINE	ATAB039	Airline
atab040	AIRLINE	ATAB040	Airline
atac003	AIRLINE	ATAC003	Airline
atac006	AIRLINE	ATAC006	Airline
atac007	AIRLINE	ATAC007	Airline
atac010	AIRLINE	ATAC010	Airline
atac011	AIRLINE	ATAC011	Airline
atac016	AIRLINE	ATAC016	Airline
atac017	AIRLINE	ATAC017	Airline
atac018	AIRLINE	ATAC018	Airline
atac021	AIRLINE	ATAC021	Airline
atac024	AIRLINE	ATAC024	Airline
atac027	AIRLINE	ATAC027	Airline
atac030	AIRLINE	ATAC030	Airline
atac041	AIRLINE	ATAC041	Airline
atac045	AIRLINE	ATAC045	Airline
atac048	AIRLINE	ATAC048	Airline
atac051	AIRLINE	ATAC051	Airline
atad002	AIRLINE	ATAD002	Airline
atad003	AIRLINE	ATAD003	Airline
atad008	AIRLINE	ATAD008	Airline
atad009	AIRLINE	ATAD009	Airline
atad010	AIRLINE	ATAD010	Airline
atad012	AIRLINE	ATAD012	Airline
atad013	AIRLINE	ATAD013	Airline
atad014	AIRLINE	ATAD014	Airline
atad015	AIRLINE	ATAD015	Airline
atae001	AIRLINE	ATAE001	Airline
ataf004	AIRLINE	ATAF004	Airline
ataf009	AIRLINE	ATAF009	Airline
ataf015	AIRLINE	ATAF015	Airline
ataf016	AIRLINE	ATAF016	Airline
ataf018	AIRLINE	ATAF018	Airline
ataf019	AIRLINE	ATAF019	Airline
ataf020	AIRLINE	ATAF020	Airline
ataf022	AIRLINE	ATAF022	Airline
ataf023	AIRLINE	ATAF023	Airline
ataf025	AIRLINE	ATAF025	Airline
ataf027	AIRLINE	ATAF027	Airline
ataf100	AIRLINE	ATAF100	Airline
ataf102	AIRLINE	ATAF102	Airline
ataf104	AIRLINE	ATAF104	Airline
atag001	AIRLINE	ATAG001	Airline
atag002	AIRLINE	ATAG002	Airline
atag003	AIRLINE	ATAG003	Airline
atah004	AIRLINE	ATAH004	Airline
atah006	AIRLINE	ATAH006	Airline
atah015	AIRLINE	ATAH015	Airline
atah016	AIRLINE	ATAH016	Airline
atah100	AIRLINE	ATAH100	Airline
atah101	AIRLINE	ATAH101	Airline
atak002	AIRLINE	ATAK002	Airline
atak004	AIRLINE	ATAK004	Airline
atak008	AIRLINE	ATAK008	Airline
atak012	AIRLINE	ATAK012	Airline
atak016	AIRLINE	ATAK016	Airline
atal004	AIRLINE	ATAL004	Airline
atal012	AIRLINE	ATAL012	Airline
atal022	AIRLINE	ATAL022	Airline
atal053	AIRLINE	ATAL053	Airline
atam001	AIRLINE	ATAM001	Airline
atam003	AIRLINE	ATAM003	Airline
atam004	AIRLINE	ATAM004	Airline
atam005	AIRLINE	ATAM005	Airline
atam006	AIRLINE	ATAM006	Airline
atam007	AIRLINE	ATAM007	Airline
atam008	AIRLINE	ATAM008	Airline
atam102	AIRLINE	ATAM102	Airline
atam103	AIRLINE	ATAM103	Airline
atam104	AIRLINE	ATAM104	Airline
atam108	AIRLINE	ATAM108	Airline
atam109	AIRLINE	ATAM109	Airline
atam110	AIRLINE	ATAM110	Airline
atam112	AIRLINE	ATAM112	Airline
atam128	AIRLINE	ATAM128	Airline
atao045	AIRLINE	ATAO045	Airline
atao065	AIRLINE	ATAO065	Airline
atao082	AIRLINE	ATAO082	Airline
atao084	AIRLINE	ATAO084	Airline
atap053	AIRLINE	ATAP053	Airline
atap054	AIRLINE	ATAP054	Airline
atap066	AIRLINE	ATAP066	Airline
ataq018	AIRLINE	ATAQ018	Airline
ataq020	AIRLINE	ATAQ020	Airline
ataq021	AIRLINE	ATAQ021	Airline
ataq022	AIRLINE	ATAQ022	Airline
ataq023	AIRLINE	ATAQ023	Airline
ataq024	AIRLINE	ATAQ024	Airline
ataq025	AIRLINE	ATAQ025	Airline
ataq026	AIRLINE	ATAQ026	Airline
ataq027	AIRLINE	ATAQ027	Airline
ataq028	AIRLINE	ATAQ028	Airline
ataq029	AIRLINE	ATAQ029	Airline
ataq030	AIRLINE	ATAQ030	Airline
atar006	AIRLINE	ATAR006	Airline
atar008	AIRLINE	ATAR008	Airline
atas000	AIRLINE	ATAS000	Airline
atas014	AIRLINE	ATAS014	Airline
atas018	AIRLINE	ATAS018	Airline
atas024	AIRLINE	ATAS024	Airline
atas025	AIRLINE	ATAS025	Airline
atas027	AIRLINE	ATAS027	Airline
atas037	AIRLINE	ATAS037	Airline
atas038	AIRLINE	ATAS038	Airline
atas039	AIRLINE	ATAS039	Airline
atas040	AIRLINE	ATAS040	Airline
